Word,Negative,Positive
,,
abandoning,1,0
abandonment,1,0
abandonments,1,0
abandons,1,0
abducted,1,0
abduction,1,0
abductions,1,0
abilities,0,1
ability,0,1
aboard,0,1
absolve,0,1
absolved,0,1
absolves,0,1
absolving,0,1
abuse,1,0
abused,1,0
abuser,1,0
abusers,1,0
abuses,1,0
abusing,1,0
abusive,1,0
abusively,1,0
abusiveness,1,0
abusivenesses,1,0
accept,0,1
acceptabilities,0,1
acceptability,0,1
acceptable,0,1
acceptableness,0,1
acceptably,0,1
acceptance,0,1
acceptances,0,1
acceptant,0,1
acceptation,0,1
acceptations,0,1
accepted,0,1
accepting,0,1
accepts,0,1
accident,1,0
accidental,1,0
accidentally,1,0
accidents,1,0
accomplish,0,1
accomplished,0,1
accomplishes,0,1
accusation,1,0
accusations,1,0
accuse,1,0
accused,1,0
accuses,1,0
accusing,1,0
achievable,0,1
active,0,1
actively,0,1
activeness,0,1
activenesses,0,1
actives,0,1
adequate,0,1
admirability,0,1
admirable,0,1
admirableness,0,1
admirably,0,1
admiral,0,1
admirals,0,1
admiralties,0,1
admiralty,0,1
admiration,0,1
admirations,0,1
admire,0,1
admired,0,1
admirer,0,1
admirers,0,1
admires,0,1
admiring,0,1
admiringly,0,1
adorability,0,1
adorable,0,1
adorableness,0,1
adorably,0,1
adoration,0,1
adorations,0,1
adore,0,1
adored,0,1
adorer,0,1
adorers,0,1
adores,0,1
adoring,0,1
adoringly,0,1
advanced,0,1
advantage,0,1
advantaged,0,1
advantageous,0,1
adverse,1,0
adversely,1,0
adverseness,1,0
adversities,1,0
adversity,1,0
affected,1,0
affection,0,1
affectional,0,1
affectionally,0,1
affectionate,0,1
affectionately,0,1
affectioned,0,1
affectionless,0,1
affections,0,1
afflicted,0,1
affronted,0,1
aggravate,1,0
aggravated,1,0
aggravates,1,0
aggravating,1,0
aggress,1,0
aggressed,1,0
aggresses,1,0
aggressing,1,0
aggression,1,0
aggressions,1,0
aggressive,1,0
aggressively,1,0
aggressiveness,1,0
aggressivities,1,0
aggressivity,1,0
aggressor,1,0
aggressors,1,0
agitate,1,0
agitated,1,0
agitatedly,1,0
agitates,1,0
agitating,1,0
agitation,1,0
agitational,1,0
agitations,1,0
agitative,1,0
agonise,1,0
agonised,1,0
agonises,1,0
agonising,1,0
agonize,1,0
agonized,1,0
agonizes,1,0
agonizing,1,0
agonizingly,1,0
agony,1,0
agree,0,1
agreeability,0,1
agreeable,0,1
agreeableness,0,1
agreeablenesses,0,1
agreeably,0,1
agreed,0,1
agreeing,0,1
agreement,0,1
agreements,0,1
agrees,0,1
alarm,1,0
alarmed,1,0
alarming,1,0
alarmingly,1,0
alert,1,0
alright,0,1
amaze,0,1
amazed,0,1
amazedly,0,1
amazement,0,1
amazements,0,1
amazes,0,1
amazing,0,1
ambitious,0,1
amusable,0,1
amuse,0,1
amused,0,1
amusedly,0,1
amusement,0,1
amusements,0,1
amuser,0,1
amusers,0,1
amuses,0,1
amusing,0,1
amusingly,0,1
amusingness,0,1
amusive,0,1
anger,1,0
angered,1,0
angering,1,0
angerly,1,0
angers,1,0
angrier,1,0
angriest,1,0
angrily,1,0
angriness,1,0
angry,1,0
anguish,1,0
anguished,1,0
anguishes,1,0
anguishing,1,0
animosity,1,0
annoy,1,0
annoyance,1,0
annoyances,1,0
annoyed,1,0
annoyer,1,0
annoyers,1,0
annoying,1,0
annoys,1,0
antagonism,1,0
antagonisms,1,0
antagonist,1,0
antagonistic,1,0
antagonistically,1,0
antagonists,1,0
antagonize,1,0
antagonized,1,0
antagonizes,1,0
antagonizing,1,0
anti,1,0
anticipation,0,1
anxieties,1,0
anxiety,1,0
anxious,1,0
anxiously,1,0
anxiousness,1,0
apologise,0,1
apologised,0,1
apologises,0,1
apologising,0,1
apologize,0,1
apologized,0,1
apologizes,0,1
apologizing,0,1
apology,0,1
appease,0,1
appeased,0,1
appeases,0,1
appeasing,0,1
applaud,0,1
applauded,0,1
applauding,0,1
applauds,0,1
applause,0,1
appreciate,0,1
appreciated,0,1
appreciates,0,1
appreciating,0,1
appreciation,0,1
appreciations,0,1
appreciative,0,1
appreciatively,0,1
appreciativeness,0,1
appreciator,0,1
appreciators,0,1
appreciatory,0,1
apprehensible,0,1
approval,0,1
approved,0,1
approves,0,1
arguable,1,0
arguably,1,0
argue,1,0
argued,1,0
arguer,1,0
arguers,1,0
argues,1,0
arguing,1,0
argument,1,0
argumentative,1,0
argumentatively,1,0
argumentive,1,0
arguments,1,0
arrest,1,0
arrested,1,0
arrests,1,0
arrogance,1,0
arrogances,1,0
arrogant,1,0
arrogantly,1,0
ashamed,1,0
ashamedly,1,0
ass,1,0
assassination,1,0
assassinations,1,0
assault,1,0
assaulted,1,0
assaulting,1,0
assaultive,1,0
assaults,1,0
asset,0,1
assets,0,1
assholes,1,0
assure,0,1
assured,0,1
assuredly,0,1
assuredness,0,1
assurer,0,1
assurers,0,1
assures,0,1
assurgent,0,1
assuring,0,1
assuror,0,1
assurors,0,1
astonished,0,1
astound,0,1
astounded,0,1
astounding,0,1
astoundingly,0,1
astounds,0,1
attachment,0,1
attachments,0,1
attack,1,0
attacked,1,0
attacker,1,0
attackers,1,0
attacking,1,0
attacks,0,1
attract,0,1
attractancy,0,1
attractant,0,1
attractants,0,1
attracted,0,1
attracting,0,1
attraction,0,1
attractions,0,1
attractive,0,1
attractively,0,1
attractiveness,0,1
attractivenesses,0,1
attractor,0,1
attractors,0,1
attracts,0,1
avid,1,0
avoid,1,0
avoidance,1,0
avoidances,1,0
avoided,1,0
avoider,1,0
avoiders,1,0
avoiding,1,0
avoids,1,0
await,0,1
awaited,0,1
awaits,0,1
award,0,1
awardable,0,1
awarded,0,1
awardee,0,1
awardees,0,1
awarder,0,1
awarders,0,1
awarding,0,1
awards,0,1
awesome,0,1
awful,1,0
awkward,1,0
awkwardly,1,0
awkwardness,1,0
backed,0,1
backing,0,1
backs,0,1
bad,1,0
badass,1,0
badly,1,0
bailout,1,0
bamboozle,1,0
bamboozled,1,0
bamboozles,1,0
ban,1,0
banish,1,0
bankrupt,1,0
bankster,1,0
banned,1,0
bargain,1,0
barrier,1,0
bashful,1,0
bashfully,1,0
bashfulness,1,0
bastard,1,0
bastardies,1,0
bastardise,1,0
bastardised,1,0
bastardises,1,0
bastardising,1,0
bastardization,1,0
bastardizations,1,0
bastardize,1,0
bastardized,1,0
bastardizes,1,0
bastardizing,1,0
bastardly,1,0
bastards,1,0
bastardy,1,0
battle,1,0
battled,1,0
battlefield,1,0
battlefields,1,0
battlefront,1,0
battlefronts,1,0
battleground,1,0
battlegrounds,1,0
battlement,1,0
battlements,1,0
battler,1,0
battlers,1,0
battles,1,0
battleship,1,0
battleships,1,0
battlewagon,1,0
battlewagons,1,0
battling,1,0
beaten,1,0
beatific,1,0
beating,1,0
beaut,0,1
beauteous,0,1
beauteously,0,1
beauteousness,0,1
beautician,0,1
beauticians,0,1
beauties,0,1
beautification,0,1
beautifications,0,1
beautified,0,1
beautifier,0,1
beautifiers,0,1
beautifies,0,1
beautiful,0,1
beautifuler,0,1
beautifulest,0,1
beautifully,0,1
beautifulness,0,1
beautify,0,1
beautifying,0,1
beauts,0,1
beauty,0,1
belittle,1,0
belittled,1,0
beloved,0,1
benefic,0,1
benefice,0,1
beneficed,0,1
beneficence,0,1
beneficences,0,1
beneficent,0,1
beneficently,0,1
benefices,0,1
beneficial,0,1
beneficially,0,1
beneficialness,0,1
beneficiaries,0,1
beneficiary,0,1
beneficiate,0,1
beneficiation,0,1
benefit,0,1
benefits,0,1
benefitted,0,1
benefitting,0,1
benevolence,0,1
benevolences,0,1
benevolent,0,1
benevolently,0,1
benevolentness,0,1
benign,0,1
benignancy,0,1
benignant,0,1
benignantly,0,1
benignities,0,1
benignity,0,1
benignly,0,1
bereave,0,1
bereaved,0,1
bereaves,0,1
bereaving,0,1
best,0,1
betray,1,0
betrayal,1,0
betrayed,1,0
betraying,1,0
betrays,1,0
better,0,1
bias,1,0
biased,1,0
bitch,1,0
bitched,1,0
bitcheries,1,0
bitchery,1,0
bitches,1,0
bitchier,1,0
bitchiest,1,0
bitchily,1,0
bitchiness,1,0
bitching,1,0
bitchy,1,0
bitter,1,0
bitterbrush,1,0
bitterbrushes,1,0
bittered,1,0
bitterer,1,0
bitterest,1,0
bittering,1,0
bitterish,1,0
bitterly,1,0
bittern,1,0
bitterness,1,0
bitterns,1,0
bitterroots,1,0
bitters,1,0
bittersweet,1,0
bittersweetness,1,0
bittersweets,1,0
bitterweeds,1,0
bizarre,1,0
blah,1,0
blam,1,0
blamable,1,0
blamably,1,0
blame,1,0
blamed,1,0
blameful,1,0
blamefully,1,0
blameless,0,1
blamelessly,0,1
blamelessness,1,0
blamer,1,0
blamers,1,0
blames,1,0
blameworthiness,1,0
blameworthy,1,0
blaming,1,0
bless,0,1
blessed,0,1
blesseder,0,1
blessedest,0,1
blessedly,0,1
blessedness,0,1
blesser,0,1
blessers,0,1
blesses,0,1
blessing,0,1
blessings,0,1
blind,1,0
bliss,0,1
blissful,0,1
blithe,0,1
block,1,0
blockbuster,1,0
blocked,1,0
blocking,1,0
blocks,1,0
bloody,1,0
blurry,1,0
bold,0,1
bolder,0,1
boldest,0,1
boldface,0,1
boldfaced,0,1
boldfaces,0,1
boldfacing,0,1
boldly,0,1
boldness,0,1
boldnesses,0,1
bolds,0,1
bomb,1,0
bonus,0,1
bonuses,0,1
boost,0,1
boosted,0,1
boosting,0,1
boosts,0,1
bore,1,0
boreal,1,0
bored,1,0
boredom,1,0
boredoms,1,0
boresome,1,0
boring,1,0
bothered,1,0
bothering,1,0
bothers,1,0
bothersome,1,0
boycott,1,0
boycotted,1,0
boycotting,1,0
boycotts,1,0
brainwashing,1,0
brave,0,1
braved,0,1
bravely,0,1
braver,0,1
braveries,0,1
bravery,0,1
braves,0,1
bravest,0,1
breathtaking,0,1
bribe,1,0
bright,0,1
brighten,0,1
brightened,0,1
brightener,0,1
brighteners,0,1
brightening,0,1
brightens,0,1
brighter,0,1
brightest,0,1
brightly,0,1
brightness,0,1
brightnesses,0,1
brights,0,1
brightwork,0,1
brilliance,0,1
brilliances,0,1
brilliancies,0,1
brilliancy,0,1
brilliant,0,1
brilliantine,0,1
brilliantines,0,1
brilliantly,0,1
brilliants,0,1
broke,1,0
broken,1,0
brooding,1,0
brutal,1,0
brutalise,1,0
brutalised,1,0
brutalises,1,0
brutalising,1,0
brutalities,1,0
brutality,1,0
brutalization,1,0
brutalizations,1,0
brutalize,1,0
brutalized,1,0
brutalizes,1,0
brutalizing,1,0
brutally,1,0
bullied,1,0
bullshit,1,0
bully,1,0
bullying,1,0
bummer,1,0
buoyant,1,0
burden,1,0
burdened,1,0
burdener,1,0
burdeners,1,0
burdening,1,0
burdens,1,0
burdensome,1,0
calm,0,1
calmative,0,1
calmatives,0,1
calmed,0,1
calmer,0,1
calmest,0,1
calming,0,1
calmly,0,1
calmness,0,1
calmnesses,0,1
calmodulin,0,1
calms,0,1
can't,1,0
cancel,1,0
cancelled,1,0
cancelling,1,0
cancels,1,0
cancer,1,0
capable,0,1
captivated,0,1
care,0,1
cared,0,1
carefree,0,1
careful,0,1
carefully,0,1
carefulness,0,1
careless,1,0
carelessly,1,0
carelessness,1,0
carelessnesses,1,0
cares,0,1
caring,0,1
casual,0,1
casually,0,1
casualty,1,0
catastrophe,1,0
catastrophic,1,0
cautious,0,1
celebrate,0,1
celebrated,0,1
celebrates,0,1
celebrating,0,1
censor,1,0
censored,1,0
censors,1,0
certain,0,1
certainly,0,1
certainties,0,1
certainty,0,1
challenge,0,1
challenged,1,0
challenger,0,1
challengers,0,1
challenges,0,1
challenging,0,1
challengingly,0,1
champ,0,1
champagne,0,1
champagnes,0,1
champaign,0,1
champion,0,1
championed,0,1
championing,0,1
champions,0,1
championship,0,1
championships,0,1
champs,0,1
champy,0,1
chance,0,1
chances,0,1
chaos,1,0
chaotic,1,0
charged,1,0
charitable,0,1
charitableness,0,1
charitablenesses,0,1
charitably,0,1
charities,0,1
charity,0,1
charm,0,1
charmed,0,1
charmer,0,1
charmers,0,1
charmeuse,0,1
charmeuses,0,1
charming,0,1
charminger,0,1
charmingest,0,1
charmingly,0,1
charmless,0,1
charms,0,1
chastise,0,1
chastised,0,1
chastises,0,1
chastising,0,1
cheat,1,0
cheated,1,0
cheater,1,0
cheaters,1,0
cheating,1,0
cheats,1,0
cheer,0,1
cheered,0,1
cheerer,0,1
cheerers,0,1
cheerful,0,1
cheerfuller,0,1
cheerfullest,0,1
cheerfully,0,1
cheerfulness,0,1
cheerier,0,1
cheeriest,0,1
cheerily,0,1
cheeriness,0,1
cheering,0,1
cheerio,0,1
cheerlead,0,1
cheerleader,0,1
cheerleaders,0,1
cheerleading,0,1
cheerleads,0,1
cheerled,0,1
cheerless,0,1
cheerlessly,0,1
cheerlessness,0,1
cheerly,0,1
cheers,0,1
cheery,0,1
cherish,0,1
cherishable,0,1
cherished,0,1
cherisher,0,1
cherishers,0,1
cherishes,0,1
cherishing,0,1
chic,0,1
childish,0,1
chilling,0,1
choke,1,0
choked,1,0
chokes,1,0
choking,1,0
chuckle,1,0
chuckled,1,0
chucklehead,1,0
chuckleheaded,1,0
chuckleheads,1,0
chuckler,1,0
chucklers,1,0
chuckles,1,0
chucklesome,0,1
chuckling,0,1
chucklingly,0,1
clarifies,0,1
clarity,0,1
classy,0,1
clean,0,1
cleaner,0,1
clear,0,1
cleared,0,1
clearly,0,1
clears,0,1
clever,0,1
cleverer,0,1
cleverest,0,1
cleverish,0,1
cleverly,0,1
cleverness,0,1
clevernesses,0,1
clouded,1,0
clueless,1,0
cock,1,0
cocksucker,1,0
cocksuckers,1,0
cocky,1,0
coerced,1,0
collapse,1,0
collapsed,1,0
collapses,1,0
collapsing,1,0
collide,1,0
collides,1,0
colliding,1,0
collision,1,0
collisions,1,0
colluding,1,0
combat,1,0
combats,1,0
comedian,0,1
comedians,0,1
comedic,0,1
comedically,0,1
comedienne,0,1
comediennes,0,1
comedies,0,1
comedo,0,1
comedones,0,1
comedown,0,1
comedowns,0,1
comedy,0,1
comfort,0,1
comfortable,0,1
comfortableness,0,1
comfortably,0,1
comforted,0,1
comforter,0,1
comforters,0,1
comforting,0,1
comfortingly,0,1
comfortless,0,1
comforts,0,1
commend,0,1
commended,0,1
commit,0,1
commitment,0,1
commitments,0,1
commits,0,1
committed,0,1
committing,0,1
compassion,0,1
compassionate,0,1
compassionated,0,1
compassionately,0,1
compassionateness,0,1
compassionates,0,1
compassionating,0,1
compassionless,0,1
compelled,0,1
compelling,0,1
competent,0,1
competitive,0,1
complacent,0,1
complain,1,0
complainant,1,0
complainants,1,0
complained,1,0
complainer,1,0
complainers,1,0
complaining,1,0
complainingly,1,0
complains,1,0
complaint,1,0
complaints,1,0
compliment,0,1
complimentarily,0,1
complimentary,0,1
complimented,0,1
complimenting,0,1
compliments,0,1
comprehensive,0,1
confidence,0,1
confident,0,1
confidently,0,1
conflict,1,0
conflicting,1,0
conflictive,1,0
conflicts,1,0
confront,1,0
confrontation,1,0
confrontational,1,0
confrontationist,1,0
confrontationists,1,0
confrontations,1,0
confronted,1,0
confronter,1,0
confronters,1,0
confronting,1,0
confronts,1,0
confuse,1,0
confused,1,0
confusedly,1,0
confusedness,1,0
confuses,1,0
confusing,1,0
confusingly,1,0
confusion,1,0
confusional,1,0
confusions,1,0
congrats,0,1
congratulate,0,1
congratulation,0,1
congratulations,0,1
consent,0,1
consents,0,1
considerate,0,1
consolable,0,1
conspiracy,1,0
constrained,1,0
contagion,1,0
contagions,1,0
contagious,1,0
contempt,0,1
contemptibilities,0,1
contemptibility,0,1
contemptible,0,1
contemptibleness,0,1
contemptibly,0,1
contempts,0,1
contemptuous,0,1
contemptuously,0,1
contemptuousness,0,1
contend,0,1
contender,0,1
contented,0,1
contentedly,0,1
contentedness,0,1
contentious,0,1
contentment,0,1
contestable,0,1
contradict,1,0
contradictable,1,0
contradicted,1,0
contradicting,1,0
contradiction,1,0
contradictions,1,0
contradictious,1,0
contradictor,1,0
contradictories,1,0
contradictorily,1,0
contradictoriness,1,0
contradictors,1,0
contradictory,1,0
contradicts,1,0
controversial,1,0
controversially,1,0
convince,0,1
convinced,0,1
convincer,0,1
convincers,0,1
convinces,0,1
convincing,0,1
convincingly,0,1
convincingness,0,1
cool,0,1
courage,0,1
courageous,0,1
courageously,0,1
courageousness,0,1
courteous,0,1
courtesy,0,1
cover-up,1,0
coward,1,0
cowardly,1,0
coziness,0,1
cramp,1,0
crap,1,0
crappy,1,0
crash,1,0
craze,1,0
crazed,1,0
crazes,1,0
crazier,1,0
craziest,1,0
crazily,1,0
craziness,1,0
crazinesses,1,0
crazing,1,0
crazy,1,0
crazyweed,1,0
create,0,1
created,0,1
creates,0,1
creatin,0,1
creation,0,1
creative,0,1
credit,0,1
creditabilities,0,1
creditability,0,1
creditable,0,1
creditableness,0,1
creditably,0,1
credited,0,1
crediting,0,1
creditor,0,1
credits,0,1
creditworthiness,0,1
creditworthy,0,1
cried,1,0
cries,1,0
crime,1,0
criminal,1,0
criminals,1,0
crisis,1,0
critic,1,0
critical,1,0
criticise,1,0
criticised,1,0
criticises,1,0
criticising,1,0
criticism,1,0
criticisms,1,0
criticizable,1,0
criticize,1,0
criticized,1,0
criticizer,1,0
criticizers,1,0
criticizes,1,0
criticizing,1,0
critics,1,0
crude,1,0
crudely,1,0
crudeness,1,0
crudenesses,1,0
cruder,1,0
crudes,1,0
crudest,1,0
cruel,1,0
crueler,1,0
cruelest,1,0
crueller,1,0
cruellest,1,0
cruelly,1,0
cruelness,1,0
cruelties,1,0
cruelty,1,0
crush,1,0
crushed,1,0
crushes,1,0
crushing,1,0
cry,1,0
crying,1,0
cunt,1,0
cunts,1,0
curious,0,1
curse,1,0
cut,0,1
cute,0,1
cutely,0,1
cuteness,0,1
cutenesses,0,1
cuter,0,1
cutes,0,1
cutesie,0,1
cutesier,0,1
cutesiest,0,1
cutest,0,1
cutesy,0,1
cutey,0,1
cuteys,0,1
cutie,0,1
cutiepie,0,1
cuties,0,1
cuts,1,0
cutting,1,0
cynic,1,0
cynical,1,0
cynically,1,0
cynicism,1,0
cynicisms,1,0
cynics,1,0
damage,1,0
damaged,1,0
damager,1,0
damagers,1,0
damages,1,0
damaging,1,0
damagingly,1,0
damn,1,0
damnable,1,0
damnableness,1,0
damnably,1,0
damnation,1,0
damnations,1,0
damnatory,1,0
damned,1,0
damnedest,1,0
damnified,1,0
damnifies,1,0
damnify,1,0
damnifying,1,0
damning,1,0
damningly,1,0
damnit,1,0
damns,1,0
danger,1,0
dangered,1,0
dangering,1,0
dangerous,1,0
dangerously,1,0
dangerousness,1,0
dangers,1,0
daredevil,1,0
daring,0,1
daringly,0,1
daringness,0,1
darings,0,1
darkest,1,0
darkness,1,0
darling,0,1
darlingly,0,1
darlingness,0,1
darlings,0,1
dauntless,0,1
daze,0,1
dazed,0,1
dazedly,0,1
dazedness,0,1
dazes,0,1
dead,1,0
deadlock,1,0
deafening,1,0
dear,0,1
dearer,0,1
dearest,0,1
dearie,0,1
dearies,0,1
dearly,0,1
dearness,0,1
dears,0,1
deceit,1,0
deceitful,1,0
deceive,1,0
deceived,1,0
deceives,1,0
deceiving,1,0
deception,1,0
decisive,1,0
dedicated,0,1
defeat,1,0
defeated,1,0
defeater,1,0
defeaters,1,0
defeating,1,0
defeatism,1,0
defeatist,1,0
defeatists,1,0
defeats,1,0
defeature,1,0
defeatures,1,0
defect,1,0
defected,1,0
defecting,1,0
defection,1,0
defections,1,0
defective,1,0
defectively,1,0
defectiveness,1,0
defectives,1,0
defector,1,0
defectors,1,0
defects,1,0
defence,0,1
defenceman,0,1
defencemen,0,1
defences,0,1
defender,0,1
defenders,0,1
defense,0,1
definite,0,1
definitely,0,1
degradable,1,0
degradation,1,0
degradations,1,0
degradative,1,0
degrade,1,0
degraded,1,0
degrader,1,0
degraders,1,0
degrades,1,0
degrading,1,0
degradingly,1,0
dehumanize,1,0
dehumanized,1,0
dehumanizes,1,0
dehumanizing,1,0
delay,1,0
delayed,1,0
delectable,1,0
delectables,1,0
delectably,1,0
delicate,0,1
delicately,0,1
delicates,0,1
delicatessen,0,1
delicatessens,0,1
delicious,0,1
deliciously,0,1
deliciousness,0,1
delight,0,1
delighted,0,1
delightedly,0,1
delightedness,0,1
delighter,0,1
delighters,0,1
delightful,0,1
delightfully,0,1
delightfulness,0,1
delighting,0,1
delights,0,1
delightsome,0,1
demand,1,0
demanded,1,0
demanding,1,0
demonstration,1,0
demoralized,1,0
denied,1,0
denier,1,0
deniers,1,0
denies,1,0
denounce,1,0
denounces,1,0
deny,1,0
denying,1,0
depress,1,0
depressant,1,0
depressants,1,0
depressed,1,0
depresses,1,0
depressible,1,0
depressing,1,0
depressingly,1,0
depression,1,0
depressions,1,0
depressive,1,0
depressively,1,0
depressives,1,0
depressor,1,0
depressors,1,0
depressurization,1,0
depressurizations,1,0
depressurize,1,0
depressurized,1,0
depressurizes,1,0
depressurizing,1,0
deprival,1,0
deprivals,1,0
deprivation,1,0
deprivations,1,0
deprive,1,0
deprived,1,0
depriver,1,0
deprivers,1,0
deprives,1,0
depriving,1,0
derail,1,0
derailed,1,0
derails,1,0
deride,1,0
derided,1,0
derides,1,0
deriding,1,0
derision,1,0
desirable,0,1
desire,0,1
desired,0,1
desirous,0,1
despair,1,0
despaired,1,0
despairer,1,0
despairers,1,0
despairing,1,0
despairingly,1,0
despairs,1,0
desperate,1,0
desperately,1,0
desperateness,1,0
desperation,1,0
desperations,1,0
despise,1,0
despised,1,0
despisement,1,0
despisements,1,0
despiser,1,0
despisers,1,0
despises,1,0
despising,1,0
despondent,1,0
destroy,1,0
destroyed,1,0
destroyer,1,0
destroyers,1,0
destroying,1,0
destroys,1,0
destruct,1,0
destructed,1,0
destructibility,1,0
destructible,1,0
destructing,1,0
destruction,1,0
destructionist,1,0
destructionists,1,0
destructions,1,0
destructive,1,0
destructively,1,0
destructiveness,1,0
destructivity,1,0
destructs,1,0
detached,1,0
detain,1,0
detained,1,0
detention,1,0
devastate,1,0
devastated,1,0
devastates,1,0
devastating,1,0
devastatingly,1,0
devastation,1,0
devastations,1,0
devastative,1,0
devastator,1,0
devastators,1,0
devil,1,0
deviled,1,0
devilfish,1,0
devilfishes,1,0
deviling,1,0
devilish,1,0
devilishly,1,0
devilishness,1,0
devilkin,1,0
devilled,1,0
devilling,1,0
devilment,1,0
devilments,1,0
devilries,1,0
devilry,1,0
devils,1,0
deviltries,1,0
deviltry,1,0
devilwood,1,0
devilwoods,1,0
devote,0,1
devoted,0,1
devotedly,0,1
devotedness,0,1
devotee,0,1
devotees,0,1
devotement,0,1
devotements,0,1
devotes,0,1
devoting,0,1
devotion,0,1
devotional,0,1
devotionally,0,1
devotionals,0,1
devotions,0,1
diamond,0,1
dick,1,0
dickhead,1,0
die,1,0
died,1,0
difficult,1,0
difficulties,1,0
difficultly,1,0
difficulty,1,0
diffident,1,0
dipshit,1,0
dire,1,0
direful,1,0
dirt,1,0
dirtier,1,0
dirtiest,1,0
dirty,1,0
disabling,1,0
disadvantage,1,0
disadvantaged,1,0
disadvantageous,1,0
disadvantageously,1,0
disadvantageousness,1,0
disadvantages,1,0
disagree,1,0
disagreeable,1,0
disagreeableness,1,0
disagreeablenesses,1,0
disagreeably,1,0
disagreed,1,0
disagreeing,1,0
disagreement,1,0
disagreements,1,0
disagrees,1,0
disappear,1,0
disappeared,1,0
disappears,1,0
disappoint,1,0
disappointed,1,0
disappointedly,1,0
disappointing,1,0
disappointingly,1,0
disappointment,1,0
disappointments,1,0
disappoints,1,0
disaster,1,0
disasters,1,0
disastrous,1,0
disbelieve,1,0
discard,1,0
discarded,1,0
discarding,1,0
discards,1,0
discomfort,1,0
discomfortable,1,0
discomforted,1,0
discomforting,1,0
discomforts,1,0
disconsolate,1,0
disconsolation,1,0
discontented,1,0
discounted,1,0
discourage,1,0
discourageable,1,0
discouraged,1,0
discouragement,1,0
discouragements,1,0
discourager,1,0
discouragers,1,0
discourages,1,0
discouraging,1,0
discouragingly,1,0
discredited,1,0
disdain,1,0
disgrace,1,0
disgraced,1,0
disguise,1,0
disguised,1,0
disguises,1,0
disguising,1,0
disgust,1,0
disgusted,1,0
disgustedly,1,0
disgustful,1,0
disgusting,1,0
disgustingly,1,0
disgusts,1,0
dishearten,1,0
disheartened,1,0
disheartening,1,0
dishearteningly,1,0
disheartenment,1,0
disheartenments,1,0
disheartens,1,0
dishonest,1,0
disillusion,1,0
disillusioned,1,0
disillusioning,1,0
disillusionment,1,0
disillusionments,1,0
disillusions,1,0
disinclined,1,0
disjointed,1,0
dislike,1,0
disliked,1,0
dislikes,1,0
disliking,1,0
dismal,1,0
dismay,1,0
dismayed,1,0
dismaying,1,0
dismayingly,1,0
dismays,1,0
disorder,1,0
disorganized,1,0
disoriented,1,0
disparage,1,0
disparaged,1,0
disparages,1,0
disparaging,1,0
displeased,1,0
dispute,1,0
disputed,1,0
disputes,1,0
disputing,1,0
disqualified,1,0
disquiet,1,0
disregard,1,0
disregarded,1,0
disregarding,1,0
disregards,1,0
disrespect,1,0
disrespected,1,0
disruption,1,0
disruptions,1,0
disruptive,1,0
dissatisfaction,1,0
dissatisfactions,1,0
dissatisfactory,1,0
dissatisfied,1,0
dissatisfies,1,0
dissatisfy,1,0
